window,method,F1,n,scenario
7,TF-Vote-Decay-3.0,0.8669,661,sudden|3src|brand
8,WV-static,0.8427,661,sudden|3src|brand
8,TF-Vote-NoDecay,0.8926,661,sudden|3src|brand
8,TF-Vote-Decay-3.0,0.8926,661,sudden|3src|brand
1,WV-static,0.7396,338,sudden|3src|title
1,TF-Vote-NoDecay,0.7396,338,sudden|3src|title
1,TF-Vote-Decay-3.0,0.7396,338,sudden|3src|title
2,WV-static,0.7902,491,sudden|3src|title
2,TF-Vote-NoDecay,0.7862,491,sudden|3src|title
2,TF-Vote-Decay-3.0,0.7882,491,sudden|3src|title
3,WV-static,0.8155,580,sudden|3src|title
3,TF-Vote-NoDecay,0.8155,580,sudden|3src|title
3,TF-Vote-Decay-3.0,0.8172,580,sudden|3src|title
4,WV-static,0.841,629,sudden|3src|title
4,TF-Vote-NoDecay,0.8442,629,sudden|3src|title
4,TF-Vote-Decay-3.0,0.8378,629,sudden|3src|title
5,WV-static,0.8519,648,sudden|3src|title
5,TF-Vote-NoDecay,0.858,648,sudden|3src|title
5,TF-Vote-Decay-3.0,0.858,648,sudden|3src|title
6,WV-static,0.8752,657,sudden|3src|title
6,TF-Vote-NoDecay,0.895,657,sudden|3src|title
6,TF-Vote-Decay-3.0,0.8904,657,sudden|3src|title
7,WV-static,0.8805,661,sudden|3src|title
7,TF-Vote-NoDecay,0.9032,661,sudden|3src|title
7,TF-Vote-Decay-3.0,0.8986,661,sudden|3src|title
8,WV-static,0.8986,661,sudden|3src|title
8,TF-Vote-NoDecay,0.9259,661,sudden|3src|title
8,TF-Vote-Decay-3.0,0.9244,661,sudden|3src|title
1,WV-static,0.7396,338,sudden|3src|brand+title
1,TF-Vote-NoDecay,0.7396,338,sudden|3src|brand+title
1,TF-Vote-Decay-0.1,0.7396,338,sudden|3src|brand+title
1,TF-Vote-Decay-0.3,0.7396,338,sudden|3src|brand+title
1,TF-Vote-Decay-1.0,0.7396,338,sudden|3src|brand+title
1,TF-Vote-Decay-3.0,0.7396,338,sudden|3src|brand+title
1,TF-Vote-Decay-5.0,0.7396,338,sudden|3src|brand+title
2,WV-static,0.7902,491,sudden|3src|brand+title
2,TF-Vote-NoDecay,0.7862,491,sudden|3src|brand+title
2,TF-Vote-Decay-0.1,0.7862,491,sudden|3src|brand+title
2,TF-Vote-Decay-0.3,0.7862,491,sudden|3src|brand+title
2,TF-Vote-Decay-1.0,0.7862,491,sudden|3src|brand+title
2,TF-Vote-Decay-3.0,0.7882,491,sudden|3src|brand+title
2,TF-Vote-Decay-5.0,0.7882,491,sudden|3src|brand+title
3,WV-static,0.8155,580,sudden|3src|brand+title
3,TF-Vote-NoDecay,0.8155,580,sudden|3src|brand+title
3,TF-Vote-Decay-0.1,0.8155,580,sudden|3src|brand+title
3,TF-Vote-Decay-0.3,0.8155,580,sudden|3src|brand+title
3,TF-Vote-Decay-1.0,0.8155,580,sudden|3src|brand+title
3,TF-Vote-Decay-3.0,0.8172,580,sudden|3src|brand+title
3,TF-Vote-Decay-5.0,0.8138,580,sudden|3src|brand+title
4,WV-static,0.7838,629,sudden|3src|brand+title
4,TF-Vote-NoDecay,0.787,629,sudden|3src|brand+title
4,TF-Vote-Decay-0.1,0.787,629,sudden|3src|brand+title
4,TF-Vote-Decay-0.3,0.7886,629,sudden|3src|brand+title
4,TF-Vote-Decay-1.0,0.7822,629,sudden|3src|brand+title
4,TF-Vote-Decay-3.0,0.779,629,sudden|3src|brand+title
4,TF-Vote-Decay-5.0,0.7806,629,sudden|3src|brand+title
5,WV-static,0.7747,648,sudden|3src|brand+title
5,TF-Vote-NoDecay,0.784,648,sudden|3src|brand+title
5,TF-Vote-Decay-0.1,0.784,648,sudden|3src|brand+title
5,TF-Vote-Decay-0.3,0.7855,648,sudden|3src|brand+title
5,TF-Vote-Decay-1.0,0.7855,648,sudden|3src|brand+title
5,TF-Vote-Decay-3.0,0.7886,648,sudden|3src|brand+title
5,TF-Vote-Decay-5.0,0.7824,648,sudden|3src|brand+title
6,WV-static,0.7702,657,sudden|3src|brand+title
6,TF-Vote-NoDecay,0.8037,657,sudden|3src|brand+title
6,TF-Vote-Decay-0.1,0.8113,657,sudden|3src|brand+title
6,TF-Vote-Decay-0.3,0.8189,657,sudden|3src|brand+title
6,TF-Vote-Decay-1.0,0.8204,657,sudden|3src|brand+title
6,TF-Vote-Decay-3.0,0.8174,657,sudden|3src|brand+title
6,TF-Vote-Decay-5.0,0.8158,657,sudden|3src|brand+title
7,WV-static,0.77,661,sudden|3src|brand+title
7,TF-Vote-NoDecay,0.823,661,sudden|3src|brand+title
7,TF-Vote-Decay-0.1,0.823,661,sudden|3src|brand+title
7,TF-Vote-Decay-0.3,0.8245,661,sudden|3src|brand+title
7,TF-Vote-Decay-1.0,0.829,661,sudden|3src|brand+title
7,TF-Vote-Decay-3.0,0.82,661,sudden|3src|brand+title
7,TF-Vote-Decay-5.0,0.82,661,sudden|3src|brand+title
8,WV-static,0.7716,661,sudden|3src|brand+title
8,TF-Vote-NoDecay,0.8457,661,sudden|3src|brand+title
8,TF-Vote-Decay-0.1,0.8472,661,sudden|3src|brand+title
8,TF-Vote-Decay-0.3,0.8533,661,sudden|3src|brand+title
