window,method,F1,n,scenario
4,TF-Vote-Decay-3.0,0.8506,629,gradual|5src|title
5,WV-static,0.8719,648,gradual|5src|title
5,TF-Vote-NoDecay,0.875,648,gradual|5src|title
5,TF-Vote-Decay-3.0,0.8719,648,gradual|5src|title
6,WV-static,0.898,657,gradual|5src|title
6,TF-Vote-NoDecay,0.9026,657,gradual|5src|title
6,TF-Vote-Decay-3.0,0.895,657,gradual|5src|title
7,WV-static,0.9017,661,gradual|5src|title
7,TF-Vote-NoDecay,0.9002,661,gradual|5src|title
7,TF-Vote-Decay-3.0,0.9077,661,gradual|5src|title
8,WV-static,0.9183,661,gradual|5src|title
8,TF-Vote-NoDecay,0.9183,661,gradual|5src|title
8,TF-Vote-Decay-3.0,0.9183,661,gradual|5src|title
1,WV-static,0.7396,338,gradual|5src|brand+title
1,TF-Vote-NoDecay,0.7396,338,gradual|5src|brand+title
1,TF-Vote-Decay-3.0,0.7396,338,gradual|5src|brand+title
2,WV-static,0.7902,491,gradual|5src|brand+title
2,TF-Vote-NoDecay,0.7862,491,gradual|5src|brand+title
2,TF-Vote-Decay-3.0,0.7882,491,gradual|5src|brand+title
3,WV-static,0.8155,580,gradual|5src|brand+title
3,TF-Vote-NoDecay,0.8155,580,gradual|5src|brand+title
3,TF-Vote-Decay-3.0,0.8172,580,gradual|5src|brand+title
4,WV-static,0.8394,629,gradual|5src|brand+title
4,TF-Vote-NoDecay,0.841,629,gradual|5src|brand+title
4,TF-Vote-Decay-3.0,0.8362,629,gradual|5src|brand+title
5,WV-static,0.8488,648,gradual|5src|brand+title
5,TF-Vote-NoDecay,0.8472,648,gradual|5src|brand+title
