budget,seed,method,F1,EM,mean_n_eff
300,5,TupleFuse-Vote-LCB-Decay,0.9933333333333333,0.9887005649717514,43.03921568627451
300,6,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,43.03921568627451
300,6,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,43.03921568627451
300,6,TupleFuse-Vote-Mean,0.9835897435897435,0.9717514124293786,43.03921568627451
300,6,TupleFuse-Vote-LCB,0.9867948717948719,0.9774011299435028,43.03921568627451
300,6,TupleFuse-Vote-LCB-Decay,0.9933333333333333,0.9887005649717514,43.03921568627451
300,7,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,43.03921568627451
300,7,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,43.03921568627451
300,7,TupleFuse-Vote-Mean,0.9835897435897435,0.9717514124293786,43.03921568627451
300,7,TupleFuse-Vote-LCB,0.9867948717948719,0.9774011299435028,43.03921568627451
300,7,TupleFuse-Vote-LCB-Decay,0.9933333333333333,0.9887005649717514,43.03921568627451
300,8,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,43.03921568627451
300,8,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,43.03921568627451
300,8,TupleFuse-Vote-Mean,0.9835897435897435,0.9717514124293786,43.03921568627451
300,8,TupleFuse-Vote-LCB,0.9867948717948719,0.9774011299435028,43.03921568627451
300,8,TupleFuse-Vote-LCB-Decay,0.9933333333333333,0.9887005649717514,43.03921568627451
300,9,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,43.03921568627451
300,9,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,43.03921568627451
300,9,TupleFuse-Vote-Mean,0.9835897435897435,0.9717514124293786,43.03921568627451
300,9,TupleFuse-Vote-LCB,0.9867948717948719,0.9774011299435028,43.03921568627451
300,9,TupleFuse-Vote-LCB-Decay,0.9933333333333333,0.9887005649717514,43.03921568627451
