window,method,bad_mean_trust,scenario
4,TF-Vote-NoDecay,0.7832,gradual|5src|brand+title
4,TF-Vote-Decay-3.0,0.6187,gradual|5src|brand+title
5,TF-Vote-NoDecay,0.7788,gradual|5src|brand+title
5,TF-Vote-Decay-3.0,0.6261,gradual|5src|brand+title
6,TF-Vote-NoDecay,0.769,gradual|5src|brand+title
6,TF-Vote-Decay-3.0,0.6286,gradual|5src|brand+title
7,TF-Vote-NoDecay,0.7599,gradual|5src|brand+title
7,TF-Vote-Decay-3.0,0.63,gradual|5src|brand+title
8,TF-Vote-NoDecay,0.7452,gradual|5src|brand+title
8,TF-Vote-Decay-3.0,0.62,gradual|5src|brand+title
2,TF-Vote-NoDecay,0.7623,recurring|2src|brand
2,TF-Vote-Decay-3.0,0.58,recurring|2src|brand
3,TF-Vote-NoDecay,0.7735,recurring|2src|brand
3,TF-Vote-Decay-3.0,0.612,recurring|2src|brand
4,TF-Vote-NoDecay,0.7917,recurring|2src|brand
4,TF-Vote-Decay-3.0,0.6456,recurring|2src|brand
5,TF-Vote-NoDecay,0.7653,recurring|2src|brand
5,TF-Vote-Decay-3.0,0.6141,recurring|2src|brand
6,TF-Vote-NoDecay,0.7426,recurring|2src|brand
6,TF-Vote-Decay-3.0,0.6015,recurring|2src|brand
7,TF-Vote-NoDecay,0.7381,recurring|2src|brand
7,TF-Vote-Decay-3.0,0.6243,recurring|2src|brand
8,TF-Vote-NoDecay,0.7286,recurring|2src|brand
8,TF-Vote-Decay-3.0,0.6143,recurring|2src|brand
2,TF-Vote-NoDecay,0.7623,recurring|2src|title
2,TF-Vote-Decay-3.0,0.58,recurring|2src|title
3,TF-Vote-NoDecay,0.7735,recurring|2src|title
3,TF-Vote-Decay-3.0,0.612,recurring|2src|title
4,TF-Vote-NoDecay,0.7917,recurring|2src|title
4,TF-Vote-Decay-3.0,0.6456,recurring|2src|title
5,TF-Vote-NoDecay,0.7764,recurring|2src|title
5,TF-Vote-Decay-3.0,0.6487,recurring|2src|title
6,TF-Vote-NoDecay,0.754,recurring|2src|title
6,TF-Vote-Decay-3.0,0.6462,recurring|2src|title
7,TF-Vote-NoDecay,0.7483,recurring|2src|title
7,TF-Vote-Decay-3.0,0.6593,recurring|2src|title
8,TF-Vote-NoDecay,0.7422,recurring|2src|title
8,TF-Vote-Decay-3.0,0.6646,recurring|2src|title
2,TF-Vote-NoDecay,0.7623,recurring|2src|brand+title
2,TF-Vote-Decay-3.0,0.58,recurring|2src|brand+title
3,TF-Vote-NoDecay,0.7735,recurring|2src|brand+title
3,TF-Vote-Decay-3.0,0.612,recurring|2src|brand+title
4,TF-Vote-NoDecay,0.7917,recurring|2src|brand+title
4,TF-Vote-Decay-3.0,0.6456,recurring|2src|brand+title
5,TF-Vote-NoDecay,0.7432,recurring|2src|brand+title
5,TF-Vote-Decay-3.0,0.5991,recurring|2src|brand+title
6,TF-Vote-NoDecay,0.6902,recurring|2src|brand+title
6,TF-Vote-Decay-3.0,0.5645,recurring|2src|brand+title
7,TF-Vote-NoDecay,0.6728,recurring|2src|brand+title
7,TF-Vote-Decay-3.0,0.5875,recurring|2src|brand+title
8,TF-Vote-NoDecay,0.6507,recurring|2src|brand+title
8,TF-Vote-Decay-3.0,0.5664,recurring|2src|brand+title
2,TF-Vote-NoDecay,0.7212,recurring|3src|brand
2,TF-Vote-Decay-3.0,0.565,recurring|3src|brand
3,TF-Vote-NoDecay,0.7597,recurring|3src|brand
3,TF-Vote-Decay-3.0,0.6014,recurring|3src|brand
4,TF-Vote-NoDecay,0.7747,recurring|3src|brand
4,TF-Vote-Decay-3.0,0.631,recurring|3src|brand
5,TF-Vote-NoDecay,0.7494,recurring|3src|brand
5,TF-Vote-Decay-3.0,0.6048,recurring|3src|brand
6,TF-Vote-NoDecay,0.7261,recurring|3src|brand
6,TF-Vote-Decay-3.0,0.5906,recurring|3src|brand
7,TF-Vote-NoDecay,0.7258,recurring|3src|brand
7,TF-Vote-Decay-3.0,0.6209,recurring|3src|brand
8,TF-Vote-NoDecay,0.7178,recurring|3src|brand
8,TF-Vote-Decay-3.0,0.6086,recurring|3src|brand
2,TF-Vote-NoDecay,0.7212,recurring|3src|title
2,TF-Vote-Decay-3.0,0.565,recurring|3src|title
3,TF-Vote-NoDecay,0.7597,recurring|3src|title
3,TF-Vote-Decay-3.0,0.6014,recurring|3src|title
4,TF-Vote-NoDecay,0.7747,recurring|3src|title
4,TF-Vote-Decay-3.0,0.631,recurring|3src|title
5,TF-Vote-NoDecay,0.7615,recurring|3src|title
5,TF-Vote-Decay-3.0,0.6382,recurring|3src|title
6,TF-Vote-NoDecay,0.7447,recurring|3src|title
6,TF-Vote-Decay-3.0,0.6395,recurring|3src|title
7,TF-Vote-NoDecay,0.7443,recurring|3src|title
7,TF-Vote-Decay-3.0,0.659,recurring|3src|title
8,TF-Vote-NoDecay,0.7389,recurring|3src|title
8,TF-Vote-Decay-3.0,0.6596,recurring|3src|title
2,TF-Vote-NoDecay,0.7212,recurring|3src|brand+title
2,TF-Vote-Decay-3.0,0.565,recurring|3src|brand+title
3,TF-Vote-NoDecay,0.7597,recurring|3src|brand+title
3,TF-Vote-Decay-3.0,0.6014,recurring|3src|brand+title
4,TF-Vote-NoDecay,0.7747,recurring|3src|brand+title
4,TF-Vote-Decay-3.0,0.631,recurring|3src|brand+title
5,TF-Vote-NoDecay,0.7262,recurring|3src|brand+title
5,TF-Vote-Decay-3.0,0.5891,recurring|3src|brand+title
6,TF-Vote-NoDecay,0.676,recurring|3src|brand+title
6,TF-Vote-Decay-3.0,0.5564,recurring|3src|brand+title
7,TF-Vote-NoDecay,0.6638,recurring|3src|brand+title
7,TF-Vote-Decay-3.0,0.5868,recurring|3src|brand+title
8,TF-Vote-NoDecay,0.6423,recurring|3src|brand+title
8,TF-Vote-Decay-3.0,0.5617,recurring|3src|brand+title
2,TF-Vote-NoDecay,0.7301,recurring|5src|brand
2,TF-Vote-Decay-3.0,0.5598,recurring|5src|brand
3,TF-Vote-NoDecay,0.7717,recurring|5src|brand
3,TF-Vote-Decay-3.0,0.5951,recurring|5src|brand
4,TF-Vote-NoDecay,0.7832,recurring|5src|brand
4,TF-Vote-Decay-3.0,0.6187,recurring|5src|brand
5,TF-Vote-NoDecay,0.7598,recurring|5src|brand
5,TF-Vote-Decay-3.0,0.5989,recurring|5src|brand
6,TF-Vote-NoDecay,0.7346,recurring|5src|brand
6,TF-Vote-Decay-3.0,0.5865,recurring|5src|brand
7,TF-Vote-NoDecay,0.734,recurring|5src|brand
7,TF-Vote-Decay-3.0,0.6161,recurring|5src|brand
8,TF-Vote-NoDecay,0.7263,recurring|5src|brand
8,TF-Vote-Decay-3.0,0.607,recurring|5src|brand
2,TF-Vote-NoDecay,0.7301,recurring|5src|title
2,TF-Vote-Decay-3.0,0.5598,recurring|5src|title
3,TF-Vote-NoDecay,0.7717,recurring|5src|title
3,TF-Vote-Decay-3.0,0.5951,recurring|5src|title
4,TF-Vote-NoDecay,0.7832,recurring|5src|title
4,TF-Vote-Decay-3.0,0.6187,recurring|5src|title
5,TF-Vote-NoDecay,0.7667,recurring|5src|title
5,TF-Vote-Decay-3.0,0.6218,recurring|5src|title
6,TF-Vote-NoDecay,0.749,recurring|5src|title
6,TF-Vote-Decay-3.0,0.6255,recurring|5src|title
7,TF-Vote-NoDecay,0.7488,recurring|5src|title
7,TF-Vote-Decay-3.0,0.646,recurring|5src|title
8,TF-Vote-NoDecay,0.7433,recurring|5src|title
8,TF-Vote-Decay-3.0,0.6469,recurring|5src|title
2,TF-Vote-NoDecay,0.7301,recurring|5src|brand+title
